@RELATION stats
@ATTRIBUTE turnsPlayed NUMERIC
@ATTRIBUTE survive {true, false}
@ATTRIBUTE fleetGenerated NUMERIC
@ATTRIBUTE fleetLost NUMERIC
@ATTRIBUTE fleetReinforced NUMERIC
@ATTRIBUTE largestAttack NUMERIC
@ATTRIBUTE largestLoss NUMERIC
@ATTRIBUTE largestReinforcement NUMERIC
@ATTRIBUTE planetsLost NUMERIC
@ATTRIBUTE planetsConquered NUMERIC
@ATTRIBUTE planetsDefended NUMERIC
@ATTRIBUTE planetsAttacked NUMERIC
@ATTRIBUTE numFleetLost NUMERIC
@ATTRIBUTE numFleetReinforced NUMERIC
@ATTRIBUTE numFleetGenerated NUMERIC
@ATTRIBUTE totalTroopsGenerated NUMERIC
@DATA
300,true,41382,1282,39364,135,45,243,0,30,150,90,60,1972,2062,35478
299,false,1786,1312,469,40,40,14,2,1,2,154,153,53,207,1590
300,true,256,5,251,5,5,111,0,0,100,1,1,3,4,315
289,false,672,527,145,12,12,8,2,1,0,164,163,41,205,210
333,true,27116,801,26193,35,32,288,7,19,104,107,88,853,960,22740
186,false,571,452,93,35,17,14,4,3,6,59,56,15,74,529
333,true,25956,918,24872,40,24,299,12,24,152,124,100,804,928,22451
332,false,2471,1998,350,40,32,23,23,22,54,279,257,47,326,2388
208,false,722,515,162,50,34,15,7,6,12,83,77,16,99,558
209,true,11650,629,10933,33,33,138,5,21,52,72,51,566,638,16709
203,false,318,303,0,30,20,0,3,2,2,72,70,0,72,274
209,true,10160,680,9344,49,37,132,1,15,66,56,41,576,632,14281
59,false,80,61,17,13,13,3,2,1,6,28,27,10,38,48
31,false,16,14,2,5,5,1,1,0,0,7,7,2,9,9
317,true,26595,1955,22778,310,47,645,26,45,211,217,172,672,915,18003
316,false,2764,2052,549,49,49,40,37,36,129,325,289,81,406,3535
396,true,17432,829,16349,62,25,645,19,38,183,175,137,914,1089,16961
395,false,1800,1322,395,40,31,21,25,24,88,245,221,76,321,1763
155,false,136,56,80,5,5,5,3,2,4,32,30,39,71,104
79,false,71,31,40,5,5,11,1,0,0,20,20,18,38,38
681,true,46548,5741,39386,88,88,576,134,157,746,708,551,1981,2689,36699
680,false,13420,6673,5799,109,52,93,115,114,364,787,673,616,1403,11161
169,false,334,122,212,9,9,15,1,0,0,32,32,52,84,252
549,false,3623,1135,2174,81,32,142,28,27,109,187,160,222,409,1926
275,false,545,360,163,16,12,20,8,7,8,106,99,36,142,342
292,true,10100,291,9765,15,13,292,10,14,55,67,53,505,572,6418
291,false,1891,1379,378,40,18,24,31,30,62,288,258,50,338,1840
292,true,22265,1108,20960,44,28,239,20,42,241,182,140,1245,1427,29372
236,false,811,408,365,27,18,45,7,6,3,70,64,53,123,708
434,false,8120,4959,2677,93,93,50,65,64,241,468,404,267,735,7502
435,true,28909,3226,24821,142,46,412,70,89,535,363,274,893,1256,31641
307,false,2508,1347,992,50,50,47,21,20,51,196,176,163,359,1859
344,false,2364,1091,1061,39,37,44,31,30,121,207,177,194,401,1612
386,true,25117,1499,16837,54,26,197,58,68,305,286,218,1053,1459,12107
385,false,6086,3103,2626,46,42,34,84,83,267,554,471,409,963,5021
386,true,27276,1521,16336,38,20,255,47,59,275,316,257,1213,1620,12274
324,true,12318,1523,10472,59,35,90,15,38,199,177,139,892,1069,26104
323,false,1409,988,326,42,21,35,15,14,22,153,139,36,189,1356
173,false,266,65,201,7,7,10,1,0,0,21,21,58,79,164
316,false,830,671,151,20,19,11,8,7,41,120,113,31,151,870
180,false,528,423,67,30,18,10,7,6,16,83,77,11,94,448
181,true,3477,774,2543,36,27,36,4,20,25,135,115,346,481,8472
85,false,49,35,14,6,6,10,1,0,0,14,14,3,17,34
181,true,2458,415,1976,29,21,44,2,11,26,60,49,168,228,5370
394,false,3863,2799,933,42,42,28,28,27,67,343,316,147,490,3389
395,true,9102,1143,7769,47,37,108,18,37,254,173,136,474,647,17328
156,false,151,50,101,7,7,6,1,0,0,20,20,56,76,77
264,false,175,62,111,5,4,5,2,1,1,35,34,54,89,95
393,true,41036,2537,37917,40,30,445,88,110,519,451,341,1829,2280,40143
284,false,1931,999,847,40,40,17,35,34,57,257,223,182,439,1699
393,true,17256,786,16349,27,24,585,30,32,160,169,137,393,562,4239
392,false,6648,4175,2031,40,32,28,92,91,288,651,560,318,969,6016
215,false,664,505,156,15,14,7,4,3,0,119,116,42,161,471
225,true,5909,571,5214,36,35,75,4,12,92,75,63,385,460,9351
224,false,826,634,186,20,20,12,3,2,1,122,120,37,159,658
225,true,12926,943,11721,75,35,156,1,21,114,87,66,729,816,15801
165,false,165,114,51,23,23,11,1,0,0,40,40,22,62,62
154,false,132,78,54,21,21,23,1,0,0,39,39,22,61,61
455,false,5183,3931,934,112,105,50,55,54,293,401,347,94,495,7231
456,true,36498,4148,31237,427,64,559,44,71,302,445,374,1114,1559,42414
315,true,21957,924,20885,44,44,187,11,27,95,124,97,1066,1190,21496
107,false,167,157,0,20,12,0,2,1,0,34,33,0,34,136
315,true,18162,543,17491,45,27,254,8,18,119,92,74,618,710,16150
314,false,1850,1306,380,45,36,27,24,23,66,229,206,48,277,1752
190,true,11294,676,10385,60,40,80,1,18,105,81,63,693,774,15140
189,false,1276,962,280,24,24,40,6,5,27,113,108,28,141,1170
190,true,1354,84,1231,49,34,91,0,1,68,5,4,27,32,1500
140,false,732,552,180,28,28,10,2,1,0,106,105,34,140,428
323,false,5436,3997,1409,50,50,27,15,14,45,713,699,244,957,4649
326,true,10072,658,8975,117,50,924,3,21,477,97,76,344,441,18293
325,false,2626,1951,656,31,31,18,10,9,20,286,277,98,384,1710
326,true,4707,194,3876,193,29,466,7,11,376,29,18,187,216,4475
484,false,9873,5546,3720,40,40,54,97,96,298,653,557,410,1063,8369
485,true,39899,2881,36077,66,37,380,82,99,477,389,290,1767,2156,29991
260,false,909,321,556,23,17,14,9,8,10,108,100,181,289,630
485,true,11311,692,10522,60,43,323,14,15,114,89,74,298,387,3705
631,true,143981,6838,133304,724,127,1825,86,115,500,438,323,2208,2646,81952
